PLT_PARAMETERID,PLT_INFOTYPE
TY_0001_00_5,7
TY_0001_00_7,1
TY_0001_00_42,7
TY_0001_00_12,1
TY_0001_00_8,1
TY_0001_00_9,1
TY_0002_00_5,7
TY_0002_00_6,1
TY_0002_00_7,1
TY_0002_00_17,3
TY_0002_00_18,3
TY_0002_00_19,3
TY_0002_00_20,3
TY_0002_00_37,3
TY_0002_00_21,3
TY_0002_00_22,3
TY_0002_00_23,3
TY_0002_00_24,3
TY_0002_00_25,1
TY_0002_00_26,1
TY_0002_00_27,1
TY_0002_00_28,1
TY_0002_00_29,1
TY_0002_00_30,1
TY_0002_00_31,1
TY_0002_00_32,1
TY_0002_00_33,1
TY_0002_00_34,1
TY_0002_00_35,1
TY_0002_00_36,1
TY_0002_00_623,1
TY_0002_00_624,1
TY_0002_00_625,1
TY_0002_00_626,1
TY_0002_00_627,1
TY_0002_00_628,1
TY_0002_00_629,1
TY_0002_00_630,1
TY_0002_00_631,1
J_0001_00_245,3
J_0001_00_1032,3
TY_0002_00_652,1
TY_0002_00_653,1
TY_0002_00_654,1
TY_0002_00_655,1
TY_0002_00_656,1
TY_0002_00_657,1
TY_0002_00_658,1
TY_0002_00_659,1
TY_0002_00_660,1
J_0001_00_247,3
J_0001_00_235,3
J_0001_00_236,3
J_0001_00_917,3
J_0001_00_250,3
STMP_0001_GSMStatus_01,1
J_0001_03_695,1
J_0001_03_897,1
J_0001_03_898,3
J_0001_00_1033,3
J_0001_03_3349,1
J_0001_00_1028,3
J_0001_03_3350,1
TY_0002_00_632,1
TY_0002_00_633,1
TY_0002_00_634,1
TY_0002_00_635,1
TY_0002_00_636,1
TY_0002_00_637,1
TY_0002_00_638,1
TY_0002_00_639,1
TY_0002_00_640,1
TY_0002_00_641,1
TY_0002_00_642,1
TY_0002_00_643,1
TY_0002_00_644,1
TY_0002_00_645,1
TY_0002_00_646,1
TY_0002_00_647,1
TY_0002_00_648,1
TY_0002_00_649,1
TY_0002_00_650,1
TY_0002_00_651,1
TY_0002_00_661,1
TY_0002_00_662,1
TY_0002_00_663,1
TY_0002_00_664,1
TY_0002_00_665,1
TY_0002_00_666,1
TY_0002_00_667,1
TY_0002_00_668,1
TY_0002_00_669,1
TY_0002_00_670,1
TY_0002_00_671,1
TY_0002_00_672,1
TY_0002_00_673,1
TY_0002_00_674,1
TY_0002_00_675,1
J_0001_00_157,3
J_0001_29_572,1
J_0001_00_156,3
J_0001_00_1349,3
J_0001_29_1082,1
J_0001_29_1667,1
J_0001_00_1029,3
TY_0002_00_676,1
J_0001_00_1002,3
J_0001_00_5458,3
J_0001_03_4191,3
J_0001_00_1001,3
J_0001_00_1003,3
J_0001_00_1004,3
J_0001_00_1005,3
J_0001_03_4206,3
J_0001_03_4207,3
J_0001_00_1006,3
J_0001_00_1634,7
J_0001_00_990,3
J_0001_00_991,3
J_0001_00_992,3
J_0001_00_986,3
J_0001_00_993,3
J_0001_00_975,3
J_0001_00_1684,1
J_0001_00_1639,3
J_0001_00_1682,1
J_0001_00_4211,3
J_0001_00_1714,1
J_0001_00_4212,3
J_0001_00_1635,7
J_0001_00_1856,1
J_0001_00_166,3
J_0001_00_1655,1
J_0001_00_189,3
J_0001_00_3669,1
J_0001_00_977,1
J_0001_00_5465,1
J_0001_03_696,1
J_0001_00_3671,3
J_0001_00_911,3
J_0001_00_912,3
J_0001_00_913,3
J_0001_00_918,3
J_0001_17_917,3
J_0001_17_918,3
J_0001_EE_917,3
J_0001_EE_918,3
J_0001_00_1654,1
J_0001_00_1653,1
J_0001_00_1213,1
J_0001_00_3695,1
J_0001_00_623,1
J_0001_00_3696,1
J_0001_00_624,1
J_0001_00_1666,1
J_0001_00_987,1
J_0001_00_3041,1
J_0001_00_1656,1
J_0001_00_3040,1
J_0001_00_3039,1
J_0001_00_1683,1
J_0001_00_3038,1
J_0001_00_1685,1
J_0001_00_1686,1
J_0001_00_965,3
J_0001_00_164,3
J_0001_00_2596,3
J_0001_29_900,1
TY_0001_00_6,2
TY_0001_00_4,7
J_0001_00_3667,1
J_0001_00_5263,3
J_0001_00_5404,1
J_0001_3D_5137,3
J_0001_03_4816,1
J_0001_4E_109,3
J_0001_03_606,1
J_0001_4E_111,3
J_0001_03_607,1
J_0001_03_5015,1
J_0001_00_186,3
J_0001_00_558,1
J_0001_00_187,3
J_0001_00_559,1
J_0001_00_1437,1
J_0001_00_980,1
J_0001_00_2970,1
J_0001_00_979,1
J_0001_00_2979,1
J_0001_00_978,1
J_0001_00_984,1
J_0001_3D_4352,1
J_0001_00_51,3
J_0001_3D_4355,1
J_0001_3D_4356,1
J_0001_3D_4357,1
J_0001_00_81,3
J_0001_00_102,3
J_0001_00_599,1
J_0001_51_3221,1
J_0001_00_600,1
J_0001_51_3222,1
J_0001_00_601,1
J_0001_3D_4353,1
J_0001_00_108,3
J_0001_3D_4354,1
J_0001_3D_108,3
J_0001_00_106,3
J_0001_00_107,3
J_0001_00_112,3
J_0001_00_115,3
J_0001_00_167,3
J_0001_00_168,3
J_0001_00_158,3
J_0001_03_123,3
J_0001_03_124,3
J_0001_55_3697,1
J_0001_55_3701,1
J_0001_03_126,3
J_0001_55_3698,1
J_0001_55_4175,1
J_0001_03_127,3
J_0001_EF_3697,1
J_0001_EF_3701,1
J_0001_03_3028,1
J_0001_03_3026,1
J_0001_EF_3698,1
J_0001_EF_4175,1
J_0001_03_119,3
J_0001_55_3699,1
J_0001_55_3700,1
J_0001_00_354,3
J_0001_00_1188,3
J_0001_00_1189,3
J_0001_00_964,3
J_0001_00_1190,3
J_0001_00_1191,3
J_0001_00_246,3
J_0001_00_5370,3
J_0001_00_248,3
J_0001_00_5373,3
J_0001_00_182,3
J_0001_00_972,1
J_0001_00_22,3
J_0001_00_971,1
J_0001_00_970,1
J_0001_00_969,1
J_0001_00_98,3
J_0001_00_1243,1
J_0001_00_1439,1
J_0001_00_100,3
J_0001_00_1438,1
J_0001_00_1793,1
J_0001_00_109,3
J_0001_00_111,3
J_0001_00_2911,1
J_0001_4E_94,3
J_0001_00_1836,1
J_0001_00_1792,1
J_0001_4E_22,3
J_0001_03_560,1
J_0001_4E_98,3
J_0001_03_573,1
J_0001_03_574,1
J_0001_4E_100,3
J_0001_00_530,3
J_0001_00_531,3
J_0001_00_532,3
J_0001_00_545,3
J_0001_00_544,3
J_0001_00_533,3
J_0001_00_973,3
J_0001_03_522,3
J_0001_00_534,3
J_0001_00_91,3
J_0001_00_535,3
J_0001_00_536,3
J_0001_00_92,3
J_0001_00_1712,3
J_0001_00_974,3
J_0001_00_29,3
J_0001_00_1794,3
J_0001_00_3357,3
J_0001_00_1846,3
J_0001_00_4154,3
J_0001_00_593,1
J_0001_00_594,1
J_0001_00_592,1
J_0001_00_590,1
J_0001_00_591,1
J_0001_00_985,1
J_0001_00_875,1
J_0001_4E_4154,3
J_0001_00_605,1
J_0001_00_1081,1
J_0001_00_1110,1
J_0001_00_1109,1
J_0001_00_1108,1
J_0001_00_1107,1
J_0001_00_1111,1
J_0001_00_2815,1
J_0001_00_2814,1
J_0001_00_5262,3
J_0001_00_2813,1
J_0001_00_2812,1
J_0001_51_3223,1
J_0001_00_602,1
J_0001_51_3224,1
J_0001_00_86,3
J_0001_51_3225,1
J_0001_00_976,1
J_0001_00_527,1
J_0001_00_968,1
J_0001_00_967,1
J_0001_00_966,1
J_0001_00_3232,1
J_0001_00_1237,1
J_0001_17_69,1
J_0001_00_3234,1
J_0001_17_70,1
J_0001_00_3235,1
J_0001_17_1633,1
J_0001_17_3807,1
J_0001_52_3232,1
J_0001_52_3234,1
J_0001_17_84,3
J_0001_52_3235,1
J_0001_17_595,1
J_0001_17_596,1
J_0001_17_597,1
J_0001_00_3228,1
J_0001_17_598,1
J_0001_00_3229,1
J_0001_00_3230,1
J_0001_00_3231,1
J_0001_17_599,1
J_0001_00_3233,1
J_0001_17_600,1
J_0001_17_601,1
J_0001_17_602,1
J_0001_52_3228,1
J_0001_52_3229,1
J_0001_52_3230,1
J_0001_52_3231,1
J_0001_17_86,3
J_0001_52_3233,1
J_0001_17_976,1
J_0001_00_5077,1
J_0001_17_527,1
J_0001_00_5078,1
J_0001_00_5079,1
J_0001_17_968,1
J_0001_00_5080,1
J_0001_17_967,1
J_0001_00_5081,1
J_0001_00_3987,1
J_0001_17_966,1
J_0001_00_5082,1
J_0001_17_1237,1
J_0001_00_5083,1
J_0001_00_5084,1
J_0001_00_183,3
J_0001_00_5085,1
J_0001_00_5086,1
J_0001_00_5469,1
J_0001_00_184,3
J_0001_00_185,3
J_0001_3D_4361,1
J_0001_EE_1621,1
J_0001_EE_1620,1
J_0001_EE_1619,1
J_0001_00_5372,1
J_0001_00_1481,3
J_0001_29_4233,1
J_0001_29_4234,1
J_0001_00_515,3
J_0001_29_1480,3
J_0001_00_519,3
J_0001_00_3236,3
J_0001_00_3237,1
J_0001_00_3238,1
J_0001_00_3239,1
J_0001_29_1716,3
